scope_key,http_method,endpoint_path,operation_title,doc_url
mall.write_product,POST,/api/v2/admin/products/{product_no}/approve,Create a product approval request,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,PUT,/api/v2/admin/products/{product_no}/approve,Update a product approval status,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/{product_no}/customproperties,Retrieve user-defined properties by product,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,PUT,/api/v2/admin/products/{product_no}/customproperties/{property_no},Update user-defined properties by product,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,DELETE,/api/v2/admin/products/{product_no}/customproperties/{property_no},Delete user-defined properties by product,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/{product_no}/decorationimages,Retrieve a list of product decoration images,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,POST,/api/v2/admin/products/{product_no}/decorationimages,Set decoration images for a product,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,PUT,/api/v2/admin/products/{product_no}/decorationimages,Update product decoration images,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,DELETE,/api/v2/admin/products/{product_no}/decorationimages/{code},Remove a product decoration image,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/{product_no}/discountprice,Retrieve a product discounted price,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/{product_no}/hits/count,Retrieve a count of product views,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/{product_no}/icons,Retrieve a list of product icons,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,POST,/api/v2/admin/products/{product_no}/icons,Set icons for a product,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,PUT,/api/v2/admin/products/{product_no}/icons,Update product icons,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,DELETE,/api/v2/admin/products/{product_no}/icons/{code},Remove a product icon,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,POST,/api/v2/admin/products/{product_no}/images,Upload product images,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,DELETE,/api/v2/admin/products/{product_no}/images,Delete product images,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/{product_no}/memos,Retrieve a list of product memos,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/{product_no}/memos/{memo_no},Retrieve a product memo,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,POST,/api/v2/admin/products/{product_no}/memos,Create a product memo,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,PUT,/api/v2/admin/products/{product_no}/memos/{memo_no},Update a product memo,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,DELETE,/api/v2/admin/products/{product_no}/memos/{memo_no},Delete a product memo,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/{product_no}/options,Retrieve a list of product options,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,POST,/api/v2/admin/products/{product_no}/options,Create product options,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,PUT,/api/v2/admin/products/{product_no}/options,Update product options,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,DELETE,/api/v2/admin/products/{product_no}/options,Delete a product option,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/{product_no}/seo,Retrieve a product's SEO settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,PUT,/api/v2/admin/products/{product_no}/seo,Update product SEO settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/{product_no}/tags/count,Retrieve a count of a product's product tags,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/{product_no}/tags,Retrieve a list of a product's product tags,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,POST,/api/v2/admin/products/{product_no}/tags,Create product tags,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_product,DELETE,/api/v2/admin/products/{product_no}/tags/{tag},Delete a product tag,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_product,GET,/api/v2/admin/products/{product_no}/variants,Retrieve a list of product variants,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
